SKU,Vendor,Description,Title,Price,Type,Image_Src,Quantity
21487,Redken,Несмываемый уход для увеличения диаметра и плотности волос,Redken Cerafill Maximize Dense Fx,2056,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-cerafill-maximize-dense-fx---nesmyvaemyj-uhod-dlya-uvelicheniya-diametra-i-plotnosti-voloscerafill_maximize_densefx_150x250.150x150.jpg,3
21488,Redken,Ежедневный несмываемый уход,Redken Cerafill Defy Scalp Energizing Treatment,2056,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-cerafill-defy-scalp-energizing-treatment---ezhednevnyj-nesmyvaemyj-uhod-Energizing-Scalp-Treatment.150x150.jpg,20
21489,Redken,"Бессульфатный шампунь, восстанавливающий баланс pH, специально для волос блонд 300 мл",Redken Blonde Idol,1311,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol---bessulfatnyj-shampun-vosstanavlivayuschij-balans-ph-spetsialno-dlya-volos-blond-300-ml99.150x150.jpg,6
21490,Redken,"Бессульфатный шампунь, восстанавливающий баланс pH, специально для волос блонд 1000 мл",Redken Blonde Idol,2660,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol---bessulfatnyj-shampun-vosstanavlivayuschij-balans-ph-spetsialno-dlya-volos-blond-1000-ml12.150x150.jpg,12
21491,Redken,Маска для питания и смягчения волос оттенка блонд 250 мл,Redken Blonde Idol,2087,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol---maska-dlya-pitaniya-i-smyagcheniya-volos-ottenka-blond-250-ml11.150x150.jpg,10
21492,Redken,"Легкий многофункциональный спрей-уход для волос блонд, 150 мл.",Redken Blonde Idol Bbb,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-bbb---legkij-mnogofunktsionalnyj-sprej-uhod-dlya-volos-blond-89900424-mlRedken_Blonde_Idol_BBB_enl.150x150.jpg,9
21493,Redken,Двухфазный нейтрализующий кондиционер-уход для поддержания холодных оттенков блонд Фиолет 250 мл,Redken Blonde Idol,1967,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol---dvuhfaznyj-nejtralizuyuschij-konditsioner-uhod-dlya-podderzhaniya-holodnyh-ottenkov-blond-fiolet-250-ml100.150x150.jpg,18
21494,Redken,Двухфазный нейтрализующий кондиционер-уход для поддержания теплых оттенков блонд Голд 250 мл,Redken Blonde Idol,1967,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol---dvuhfaznyj-nejtralizuyuschij-konditsioner-uhod-dlya-podderzhaniya-teplyh-ottenkov-blond-gold-250-ml10.150x150.jpg,16
21495,Redken,Осветляющая пудра флэш лифт 500 г,Redken,2236,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken---osvetlyayuschaya-pudra-flesh-lift-500-g-E1072000.150x150.jpg,15
21496,Redken,Паста блонд глем пюр лайт с аммиак 500 мл,Redken,2982,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken---pasta-blond-glem-pyur-lajt-s-ammiak-500-ml-E0814900.150x150.jpg,12
21497,Redken,Блонд глем проявитель 20 вол 6% 1000 мл,Redken,1491,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken---blond-glem-proyavitel-20-vol-6-1000-ml-Redken____20_.150x150.jpg,15
21498,Redken,Блонд глем проявитель 30 вол 9% 1000 мл,Redken,1491,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken---blond-glem-proyavitel-30-vol-9-1000-ml-Redken____30_.150x150.jpg,3
21499,Redken,Блонд глем проявитель 40 вол 12% 1000 мл,Redken,1491,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken---blond-glem-proyavitel-40-vol-12-1000-ml-E0796600.150x150.jpg,1
21500,Redken,Шэйп Абилити 22 скульптурирующая крем-паста с эффектом лака 50 мл,Redken Shape Factor,1109,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shape-factor---shejp-abiliti-22-skulpturiruyuschaya-krem-pasta-s-effektom-laka-50-mlcf8c04107258666c7ce3aeabc6610d2b.150x150.jpg,13
